Date,sku,Sales,Forecast
2023-07-01,RE-007,3739,
2023-08-01,RE-007,4414,
2023-09-01,RE-007,3770,
2023-10-01,RE-007,4814,
2023-11-01,RE-007,4762,
2023-12-01,RE-007,4982,
2024-01-01,RE-007,5250,
2024-02-01,RE-007,4854,
2024-03-01,RE-007,5281,
2024-04-01,RE-007,4547,
2024-05-01,RE-007,4070,
2024-06-01,RE-007,3759,
2022-11-01,RE-015,5464,
2022-12-01,RE-015,5190,
2023-01-01,RE-015,5283,
2023-02-01,RE-015,5270,
2023-03-01,RE-015,5057,
2023-04-01,RE-015,4335,
2023-05-01,RE-015,4309,
2023-06-01,RE-015,4091,
2023-07-01,RE-015,4095,
2023-08-01,RE-015,4114,
2023-09-01,RE-015,4004,
2023-10-01,RE-015,4372,
2023-11-01,RE-015,5048,
2023-12-01,RE-015,5168,
2024-01-01,RE-015,5095,
2024-02-01,RE-015,4900,
2024-03-01,RE-015,5041,
2024-04-01,RE-015,4308,
2024-05-01,RE-015,4207,
2024-06-01,RE-015,3749,
2023-06-01,RE-017,4289,
2023-07-01,RE-017,3665,
2023-08-01,RE-017,4089,
2023-09-01,RE-017,4219,
2023-10-01,RE-017,4705,
2023-11-01,RE-017,4824,
2023-12-01,RE-017,5059,
2024-01-01,RE-017,5122,
2024-02-01,RE-017,5084,
2024-03-01,RE-017,5078,
2024-04-01,RE-017,4599,
2024-05-01,RE-017,4400,
2024-06-01,RE-017,3694,
2023-05-01,RE-025,5132,
2023-06-01,RE-025,4014,
2023-07-01,RE-025,4120,
2023-08-01,RE-025,4208,
2023-09-01,RE-025,3985,
2023-10-01,RE-025,4684,
2023-11-01,RE-025,4906,
2023-12-01,RE-025,4878,
2024-01-01,RE-025,5458,
2024-02-01,RE-025,5110,
2024-03-01,RE-025,4981,
2024-04-01,RE-025,4313,
2024-05-01,RE-025,4365,
2024-06-01,RE-025,4068,
2023-05-01,SN-010,6242,
2023-06-01,SN-010,5646,
2023-07-01,SN-010,5956,
2023-08-01,SN-010,5453,
2023-09-01,SN-010,5091,
2023-10-01,SN-010,4815,
2023-11-01,SN-010,4425,
2023-12-01,SN-010,3674,
2024-01-01,SN-010,3907,
2024-02-01,SN-010,3915,
2024-03-01,SN-010,4308,
2024-04-01,SN-010,4772,
2024-05-01,SN-010,4895,
2024-06-01,SN-010,5317,
2023-07-01,SN-013,6730,
2023-08-01,SN-013,5565,
2023-09-01,SN-013,4553,
2023-10-01,SN-013,5244,
2023-11-01,SN-013,4308,
2023-12-01,SN-013,4152,
2024-01-01,SN-013,3334,
2024-02-01,SN-013,2826,
2024-03-01,SN-013,3715,
2024-04-01,SN-013,3418,
2024-05-01,SN-013,3832,
2024-06-01,SN-013,4070,
2023-08-01,SN-019,6230,
2023-09-01,SN-019,5077,
2023-10-01,SN-019,4866,
2023-11-01,SN-019,4311,
2023-12-01,SN-019,4196,
2024-01-01,SN-019,3972,
2024-02-01,SN-019,3627,
2024-03-01,SN-019,4934,
2024-04-01,SN-019,4311,
2024-05-01,SN-019,4749,
2024-06-01,SN-019,5447,
2023-03-01,SN-027,4923,
2023-04-01,SN-027,4408,
2023-05-01,SN-027,4969,
2023-06-01,SN-027,4736,
2023-07-01,SN-027,6169,
2023-08-01,SN-027,5269,
2023-09-01,SN-027,4493,
2023-10-01,SN-027,3792,
2023-11-01,SN-027,3309,
2023-12-01,SN-027,3425,
2024-01-01,SN-027,3275,
2024-02-01,SN-027,2954,
2024-03-01,SN-027,3355,
2024-04-01,SN-027,3622,
2024-05-01,SN-027,3873,
2024-06-01,SN-027,3976,
2023-10-01,SN-028,6165,
2023-11-01,SN-028,4334,
2023-12-01,SN-028,3807,
2024-01-01,SN-028,3801,
2024-02-01,SN-028,3882,
2024-03-01,SN-028,4368,
2024-04-01,SN-028,4395,
2024-05-01,SN-028,4842,
2024-06-01,SN-028,5133,
2023-11-01,SN-030,5462,
2023-12-01,SN-030,3987,
2024-01-01,SN-030,3720,
2024-02-01,SN-030,3877,
2024-03-01,SN-030,4265,
2024-04-01,SN-030,4217,
2024-05-01,SN-030,5192,
2024-06-01,SN-030,5247,
2022-10-01,YO-001,4244,
2022-11-01,YO-001,3440,
2022-12-01,YO-001,4076,
2023-01-01,YO-001,4254,
2023-02-01,YO-001,4904,
2023-03-01,YO-001,5521,
2023-04-01,YO-001,5453,
2023-05-01,YO-001,5143,
2023-06-01,YO-001,5142,
2023-07-01,YO-001,4373,
2023-08-01,YO-001,4181,
2023-09-01,YO-001,3238,
2023-10-01,YO-001,2955,
2023-11-01,YO-001,2867,
2023-12-01,YO-001,3164,
2024-01-01,YO-001,3628,
2024-02-01,YO-001,3871,
2024-03-01,YO-001,4807,
2024-04-01,YO-001,4794,
2024-05-01,YO-001,5199,
2024-06-01,YO-001,4962,
2023-03-01,YO-003,7788,
2023-04-01,YO-003,6570,
2023-05-01,YO-003,6887,
2023-06-01,YO-003,5938,
2023-07-01,YO-003,6205,
2023-08-01,YO-003,4942,
2023-09-01,YO-003,4211,
2023-10-01,YO-003,3840,
2023-11-01,YO-003,3511,
2023-12-01,YO-003,3789,
2024-01-01,YO-003,4535,
2024-02-01,YO-003,4776,
2024-03-01,YO-003,5754,
2024-04-01,YO-003,6039,
2024-05-01,YO-003,6921,
2024-06-01,YO-003,5974,
2022-09-01,YO-005,4788,
2022-10-01,YO-005,3632,
2022-11-01,YO-005,3552,
2022-12-01,YO-005,4187,
2023-01-01,YO-005,4542,
2023-02-01,YO-005,4677,
2023-03-01,YO-005,6274,
2023-04-01,YO-005,6225,
2023-05-01,YO-005,7106,
2023-06-01,YO-005,6665,
2023-07-01,YO-005,5444,
2023-08-01,YO-005,5087,
2023-09-01,YO-005,3676,
2023-10-01,YO-005,3901,
2023-11-01,YO-005,3570,
2023-12-01,YO-005,4063,
2024-01-01,YO-005,4579,
2024-02-01,YO-005,4912,
2024-03-01,YO-005,5873,
2024-04-01,YO-005,6666,
2024-05-01,YO-005,6580,
2024-06-01,YO-005,6380,
2023-02-01,YO-009,5085,
2023-03-01,YO-009,6026,
2023-04-01,YO-009,6754,
2023-05-01,YO-009,5850,
2023-06-01,YO-009,6409,
2023-07-01,YO-009,6142,
2023-08-01,YO-009,5236,
2023-09-01,YO-009,3811,
2023-10-01,YO-009,3910,
2023-11-01,YO-009,3643,
2023-12-01,YO-009,3962,
2024-01-01,YO-009,4366,
2024-02-01,YO-009,4924,
2024-03-01,YO-009,6132,
2024-04-01,YO-009,6316,
2024-05-01,YO-009,6437,
2024-06-01,YO-009,6162,
2022-09-01,YO-012,4929,
2022-10-01,YO-012,3566,
2022-11-01,YO-012,3838,
2022-12-01,YO-012,3777,
2023-01-01,YO-012,4496,
2023-02-01,YO-012,4819,
2023-03-01,YO-012,5814,
2023-04-01,YO-012,6491,
2023-05-01,YO-012,6479,
2023-06-01,YO-012,6619,
2023-07-01,YO-012,6312,
2023-08-01,YO-012,4816,
2023-09-01,YO-012,4054,
2023-10-01,YO-012,3625,
2023-11-01,YO-012,3621,
2023-12-01,YO-012,4114,
2024-01-01,YO-012,4116,
2024-02-01,YO-012,4903,
2024-03-01,YO-012,5886,
2024-04-01,YO-012,6256,
2024-05-01,YO-012,6804,
2024-06-01,YO-012,6530,
2022-10-01,YO-014,4102,
2022-11-01,YO-014,3747,
2022-12-01,YO-014,3834,
2023-01-01,YO-014,4504,
2023-02-01,YO-014,4887,
2023-03-01,YO-014,6078,
2023-04-01,YO-014,5790,
2023-05-01,YO-014,5480,
2023-06-01,YO-014,4998,
2023-07-01,YO-014,4885,
2023-08-01,YO-014,3886,
2023-09-01,YO-014,3522,
2023-10-01,YO-014,3022,
2023-11-01,YO-014,2908,
2023-12-01,YO-014,3351,
2024-01-01,YO-014,3761,
2024-02-01,YO-014,3924,
2024-03-01,YO-014,4684,
2024-04-01,YO-014,5180,
2024-05-01,YO-014,5308,
2024-06-01,YO-014,4702,
2023-05-01,YO-016,6796,
2023-06-01,YO-016,6249,
2023-07-01,YO-016,5962,
2023-08-01,YO-016,4850,
2023-09-01,YO-016,3446,
2023-10-01,YO-016,3810,
2023-11-01,YO-016,3366,
2023-12-01,YO-016,3685,
2024-01-01,YO-016,4481,
2024-02-01,YO-016,4741,
2024-03-01,YO-016,6539,
2024-04-01,YO-016,6495,
2024-05-01,YO-016,6391,
2024-06-01,YO-016,6506,
2023-11-01,YO-018,3802,
2023-12-01,YO-018,3962,
2024-01-01,YO-018,4204,
2024-02-01,YO-018,4785,
2024-03-01,YO-018,5624,
2024-04-01,YO-018,6503,
2024-05-01,YO-018,6393,
2024-06-01,YO-018,5762,
2023-07-01,YO-020,7226,
2023-08-01,YO-020,4980,
2023-09-01,YO-020,3976,
2023-10-01,YO-020,3957,
2023-11-01,YO-020,3535,
2023-12-01,YO-020,4224,
2024-01-01,YO-020,4655,
2024-02-01,YO-020,4846,
2024-03-01,YO-020,5825,
2024-04-01,YO-020,6297,
2024-05-01,YO-020,6394,
2024-06-01,YO-020,6042,
2023-10-01,YO-024,3894,
2023-11-01,YO-024,3613,
2023-12-01,YO-024,3547,
2024-01-01,YO-024,4514,
2024-02-01,YO-024,5123,
2024-03-01,YO-024,5802,
2024-04-01,YO-024,6376,
2024-05-01,YO-024,6687,
2024-06-01,YO-024,6259,
2022-08-01,YO-029,6056,
2022-09-01,YO-029,4310,
2022-10-01,YO-029,3902,
2022-11-01,YO-029,3495,
2022-12-01,YO-029,3842,
2023-01-01,YO-029,4676,
2023-02-01,YO-029,5088,
2023-03-01,YO-029,6335,
2023-04-01,YO-029,6355,
2023-05-01,YO-029,6310,
2023-06-01,YO-029,6321,
2023-07-01,YO-029,6283,
2023-08-01,YO-029,5076,
2023-09-01,YO-029,3687,
2023-10-01,YO-029,3487,
2023-11-01,YO-029,3964,
2023-12-01,YO-029,3724,
2024-01-01,YO-029,4382,
2024-02-01,YO-029,5242,
2024-03-01,YO-029,6296,
2024-04-01,YO-029,6182,
2024-05-01,YO-029,6956,
2024-06-01,YO-029,6005,
2024-07-01,JU-021,5316,5055.0
2024-08-01,JU-021,4338,4758.0
2024-09-01,JU-021,3599,3731.0
2024-10-01,JU-021,3431,3532.0
2024-11-01,JU-021,2818,3094.0
2024-12-01,JU-021,2596,2891.0
2024-07-01,MI-002,4736,4734.0
2024-08-01,MI-002,4852,4724.0
2024-09-01,MI-002,4689,4500.0
2024-10-01,MI-002,3905,4541.0
2024-11-01,MI-002,3900,3521.0
2024-12-01,MI-002,3688,3621.0
2024-07-01,MI-006,4052,3722.0
2024-08-01,MI-006,3559,3990.0
2024-09-01,MI-006,3258,3547.0
2024-10-01,MI-006,3261,3258.0
2024-11-01,MI-006,2899,3066.0
2024-12-01,MI-006,2971,3130.0
2024-07-01,MI-008,4088,3885.0
2024-08-01,MI-008,3651,3840.0
2024-09-01,MI-008,3527,3500.0
2024-10-01,MI-008,3116,3270.0
2024-11-01,MI-008,2894,3053.0
2024-12-01,MI-008,2796,3136.0
2024-07-01,MI-011,4027,3915.0
2024-08-01,MI-011,3860,3846.0
2024-09-01,MI-011,3549,3501.0
2024-10-01,MI-011,3153,3668.0
2024-11-01,MI-011,3188,3129.0
2024-12-01,MI-011,2845,3054.0
2024-07-01,MI-022,3825,3919.0
2024-08-01,MI-022,3680,3858.0
2024-09-01,MI-022,3723,3445.0
2024-10-01,MI-022,3265,3708.0
2024-11-01,MI-022,2822,3164.0
2024-12-01,MI-022,3045,3098.0
2024-07-01,MI-023,4942,4917.0
2024-08-01,MI-023,4815,4668.0
2024-09-01,MI-023,4172,4576.0
2024-10-01,MI-023,4357,3767.0
2024-11-01,MI-023,3678,3958.0
2024-12-01,MI-023,3869,4029.0
2024-07-01,MI-026,5001,4645.0
2024-08-01,MI-026,4724,4770.0
2024-09-01,MI-026,4410,4546.0
2024-10-01,MI-026,3885,4078.0
2024-11-01,MI-026,3648,3636.0
2024-12-01,MI-026,3808,3670.0
2024-07-01,RE-004,4051,3973.0
2024-08-01,RE-004,3813,4225.0
2024-09-01,RE-004,3977,3951.0
2024-10-01,RE-004,4709,4339.0
2024-11-01,RE-004,4434,4940.0
2024-12-01,RE-004,5201,4711.0
2024-07-01,RE-007,3838,4054.0
2024-08-01,RE-007,3958,4256.0
2024-09-01,RE-007,3896,3939.0
2024-10-01,RE-007,4754,4407.0
2024-11-01,RE-007,4725,4918.0
2024-12-01,RE-007,5209,5042.0
2024-07-01,RE-015,4054,4083.0
2024-08-01,RE-015,4197,4316.0
2024-09-01,RE-015,3699,4192.0
2024-10-01,RE-015,4406,4270.0
2024-11-01,RE-015,4796,4543.0
2024-12-01,RE-015,4825,5071.0
2024-07-01,RE-017,4259,4019.0
2024-08-01,RE-017,4045,4206.0
2024-09-01,RE-017,4149,4132.0
2024-10-01,RE-017,4668,4273.0
2024-11-01,RE-017,4597,4846.0
2024-12-01,RE-017,5249,5030.0
2024-07-01,RE-025,4080,4224.0
2024-08-01,RE-025,4015,4165.0
2024-09-01,RE-025,4011,4072.0
2024-10-01,RE-025,4307,4516.0
2024-11-01,RE-025,4728,4678.0
2024-12-01,RE-025,4647,4996.0
2024-07-01,SN-010,5587,4947.0
2024-08-01,SN-010,5601,5457.0
2024-09-01,SN-010,5017,5018.0
2024-10-01,SN-010,4732,4502.0
2024-11-01,SN-010,4407,4165.0
2024-12-01,SN-010,4007,3956.0
2024-07-01,SN-013,4590,4546.0
2024-08-01,SN-013,4254,4840.0
2024-09-01,SN-013,3977,4622.0
2024-10-01,SN-013,3859,4043.0
2024-11-01,SN-013,3354,4092.0
2024-12-01,SN-013,3019,3512.0
2024-07-01,SN-019,5571,5391.0
2024-08-01,SN-019,5573,5447.0
2024-09-01,SN-019,4951,4915.0
2024-10-01,SN-019,4773,4445.0
2024-11-01,SN-019,4276,4374.0
2024-12-01,SN-019,4076,3992.0
2024-07-01,SN-027,4099,4545.0
2024-08-01,SN-027,4274,4619.0
2024-09-01,SN-027,3697,4434.0
2024-10-01,SN-027,3874,4192.0
2024-11-01,SN-027,3538,3942.0
2024-12-01,SN-027,2963,4127.0
2024-07-01,SN-028,5559,5230.0
2024-08-01,SN-028,5755,5381.0
2024-09-01,SN-028,4933,4995.0
2024-10-01,SN-028,5082,4193.0
2024-11-01,SN-028,4346,4369.0
2024-12-01,SN-028,4206,3931.0
2024-07-01,SN-030,5933,5186.0
2024-08-01,SN-030,5526,5229.0
2024-09-01,SN-030,5150,5024.0
2024-10-01,SN-030,4820,4448.0
2024-11-01,SN-030,4209,4124.0
2024-12-01,SN-030,3933,3590.0
2024-07-01,YO-001,5039,4910.0
2024-08-01,YO-001,3926,4850.0
2024-09-01,YO-001,3408,3601.0
2024-10-01,YO-001,3041,3538.0
2024-11-01,YO-001,2829,2970.0
2024-12-01,YO-001,3293,3133.0
2024-07-01,YO-003,6246,6160.0
2024-08-01,YO-003,4919,4924.0
2024-09-01,YO-003,3937,4151.0
2024-10-01,YO-003,4027,3793.0
2024-11-01,YO-003,3563,3585.0
2024-12-01,YO-003,3858,4104.0
2024-07-01,YO-005,6294,6173.0
2024-08-01,YO-005,4970,5082.0
2024-09-01,YO-005,3973,3932.0
2024-10-01,YO-005,3480,3755.0
2024-11-01,YO-005,3628,3688.0
2024-12-01,YO-005,4180,3731.0
2024-07-01,YO-009,6157,6178.0
2024-08-01,YO-009,5218,5027.0
2024-09-01,YO-009,4243,3831.0
2024-10-01,YO-009,4033,3737.0
2024-11-01,YO-009,3461,3514.0
2024-12-01,YO-009,3941,3458.0
2024-07-01,YO-012,6153,6209.0
2024-08-01,YO-012,4958,5013.0
2024-09-01,YO-012,3859,3849.0
2024-10-01,YO-012,4028,3758.0
2024-11-01,YO-012,3484,3564.0
2024-12-01,YO-012,3783,3781.0
2024-07-01,YO-014,4690,4749.0
2024-08-01,YO-014,4223,4420.0
2024-09-01,YO-014,3223,3741.0
2024-10-01,YO-014,2889,2954.0
2024-11-01,YO-014,2821,3006.0
2024-12-01,YO-014,2917,3132.0
2024-07-01,YO-016,6564,6182.0
2024-08-01,YO-016,5094,5050.0
2024-09-01,YO-016,3817,3895.0
2024-10-01,YO-016,3459,3629.0
2024-11-01,YO-016,3202,3655.0
2024-12-01,YO-016,4021,3337.0
2024-07-01,YO-018,5857,6033.0
2024-08-01,YO-018,4766,5010.0
2024-09-01,YO-018,4165,3806.0
2024-10-01,YO-018,3603,3582.0
2024-11-01,YO-018,3355,3684.0
2024-12-01,YO-018,3648,3331.0
2024-07-01,YO-020,5729,6133.0
2024-08-01,YO-020,4871,4824.0
2024-09-01,YO-020,4019,3780.0
2024-10-01,YO-020,3651,3598.0
2024-11-01,YO-020,3466,3566.0
2024-12-01,YO-020,3808,3529.0
2024-07-01,YO-024,6268,6133.0
2024-08-01,YO-024,4730,5060.0
2024-09-01,YO-024,4005,3811.0
2024-10-01,YO-024,3910,3603.0
2024-11-01,YO-024,3642,3699.0
2024-12-01,YO-024,3992,3999.0
2024-07-01,YO-029,5715,6145.0
2024-08-01,YO-029,5163,4847.0
2024-09-01,YO-029,3918,3967.0
2024-10-01,YO-029,3927,3639.0
2024-11-01,YO-029,3698,3570.0
2024-12-01,YO-029,3595,4048.0
